name,lat,lon,default_radius,open,close
MCDONALD,45.1784711,-89.6514711,20,0500,2359
MCDONALD,45.675645,-92.968577,20,0500,2359
MCDONALD,53.6193532,-113.6072444,20,0500,2359
MCDONALD,53.6582385,-113.6312996,20,0500,2359
MCDONALD,43.17411020000001,-79.7769149,20,0500,2359
MCDONALD,33.82902869999999,-88.5619881,20,0500,2359
MCDONALD,44.0302003,-92.6301757,20,0500,2359
MCDONALD,38.6304383,-90.2120109,20,0500,2359
MCDONALD,36.30776791,-82.36424312,20,0500,2359
MCDONALD,36.3509329,-82.2217304,20,0500,2359
MCDONALD,36.340531,-82.375534,20,0500,2359
MCDONALD,36.3492391,-82.2453845,20,0500,2359
MCDONALD,36.358629,-82.394291,20,0500,2359
MCDONALD,36.3890036,-82.41123259999999,20,0500,2359
MCDONALD,36.4255611,-82.31616919999999,20,0500,2359
MCDONALD,36.8577201,-83.8703999,20,0500,2359
MCDONALD,36.3196421,-82.3455535,20,0500,2359
MCDONALD,36.46491967,-81.80082634,20,0500,2359
MCDONALD,36.2893444,-82.17412499999999,20,0500,2359
MCDONALD,39.0112434,-95.6884496,20,0500,2359
MCDONALD,33.417712,-79.16126299999999,20,0500,2359
MCDONALD,38.007299,-84.212355,20,0500,2359
MCDONALD,38.00001539999999,-84.2124628,20,0500,2359
MCDONALD,35.14294,-76.83082999999999,20,0500,2359
MCDONALD,44.8315671,-89.1695953,20,0500,2359
MCDONALD,36.4052983,-78.97873299999999,20,0500,2359
MCDONALD,36.37653929999999,-78.98427290000001,20,0500,2359
MCDONALD,30.8461094,-91.00135829999999,20,0500,2359
MCDONALD,41.934914,-89.0688729,20,0500,2359
MCDONALD,41.93260859999999,-89.0349301,20,0500,2359
MCDONALD,44.929261,-123.309626,20,0500,2359
MCDONALD,42.45086420000001,-79.3087055,20,0500,2359
MCDONALD,35.40319618,-119.4006087,20,0500,2359
MCDONALD,38.791651,-90.563445,20,0500,2359
